AcademicYear,AcademicSemester,Sex,FacultyID,DepartmentCode,EntryTypeID,EntryGroupID,TCAS,LevelID,StudentType,Status
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Male,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Male,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Male,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Male,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Male,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Male,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Male,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Male,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Male,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Male,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1005,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Male,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Female,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Male,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,24,623050,1,3,THAI,MFU student
2562,1,Male,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Male,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Male,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Male,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Male,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Male,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Female,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,24,623050,1,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,24,623050,1,3,THAI,MFU student
2562,1,Male,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Male,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Male,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Male,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Male,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,10,623020,2,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Male,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Male,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Male,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Female,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Male,10,1006,29,623011,1,3,THAI,MFU student
2562,1,Male,10,1006,40,623210,5,3,FOREIGN,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Male,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,20,623030,3,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Male,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Male,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Male,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Male,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Male,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Male,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Male,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
2562,1,Female,10,1006,30,623060,4,3,THAI,MFU student
